Original File name;Location;Suppliers Reference;Title;Description;Year;Creator;Keywords;caption;image_id;IMAGE LINK
11754.tif;British Empire and Commonwealth Collections at Bristol Archives;1999/221/1/34/34;Machinery in Running Shed at [Cline] Town, Sierra Leone;"Close-up of overhead mechanism used for lifting machinery.
Caption reads: S.L.G.Ry. Overhead Trawler, in running shed, in Clive Town, July 3rd 1898.";1898;;Sierra Leone;Machinery in Running Shed at [Cline] Town, Sierra Leone;116884;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/f58bc2572f894cfbac9e455bc3b2325d
11739.tif;British Empire and Commonwealth Collections at Bristol Archives;1999/221/1/34/19;Warehouses at [Cline] Town Depot, Sierra Leone;"View of warehouses and railway track.
Caption reads: General View, Clive Town Depot, May 8th 1898.";1898;;Sierra Leone;Warehouses at [Cline] Town Depot, Sierra Leone;116869;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/91183da32b77829195f8cf9e0d27df7f
11756.tif;British Empire and Commonwealth Collections at Bristol Archives;1999/221/1/34/36;Hastings Railway Station, Sierra Leone;"View of exterior of Hastings Railway Station under construction.
Caption reads: Hastings Station Building, Sep. 3rd 1898.";1898;;Sierra Leone;Hastings Railway Station, Sierra Leone;116886;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/5e1e6c19da8d4265c5fa319e26e26410
11771.tif;British Empire and Commonwealth Collections at Bristol Archives;1999/221/1/34/51;Nichol Brook Viaduct, Sierra Leone;"View of viaduct with houses in the background.
Caption reads: Nichol Brook Viaduct looking towards Freetown.";[c.1898];;Sierra Leone;Nichol Brook Viaduct, Sierra Leone;116901;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/e33a895033c15e5d27bfd6c82cca350f
11751.tif;British Empire and Commonwealth Collections at Bristol Archives;1999/221/1/34/31;Kissey Station, Sierra Leone;"View of exterior of Kissey Station with workers on roof.
Caption reads: S.L.G.Ry. Kissey Station, July 4th 1898.";1898;;Sierra Leone;Kissey Station, Sierra Leone;116881;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/82c6454b62d1558710b894435bb2dd0d
2005-001-151-15.tif;British Empire and Commonwealth Collections at Bristol Archives;2005/001/151/15;Botanical Gardens, St Vincent;Botanical Gardens taken from above by Norton Bros and Co.Caption reads: 'Botanical Gardens, St Vincent';c.1860;;St. Vincent;Botanical Gardens, St Vincent;189013;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/73e95f242d743b80858c210c929d6d28
2005-001-151-32.tif;British Empire and Commonwealth Collections at Bristol Archives;2005/001/151/32;Kingston Harbour, Jamaica;Showing Kingston from the sea. Caption reads: 'Kingston Harbour';c.1860;;Jamaica;Kingston Harbour, Jamaica;189030;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/acd68d29a4ed74a49545e5536f86dd71
2005-001-152-07.tif;British Empire and Commonwealth Collections at Bristol Archives;2005/001/152/7;Kingston, Jamaica;General view of street in Kingston. Caption reads: 'Kingston, Jamaica';1862;;Jamaica;Kingston, Jamaica;189039;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/c790207fc49e6126c5aa697de79fda2e
2005-001-152-12.tif;British Empire and Commonwealth Collections at Bristol Archives;2005/001/152/12;Group of men at Port Royal, Jamaica;"Group of men in civilian clothes. Names are given: Lt Clarkson, Lt Jones, Asst Sup O'Donovan, Asst Sup Goodman, Asst Sup Barry, J Banks, Asst Sup Donovan. 
Caption reads: 'Port Royal Jamaica'";1862;;Jamaica;Group of men at Port Royal, Jamaica;189044;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/bc9022fa4c12bccd524293292ac6f642
2005-001-152-15.tif;British Empire and Commonwealth Collections at Bristol Archives;2005/001/152/15;View of dockyard and Port Royal, Jamaica;"Showing figures in front of building. 
Caption reads: 'View of dockyard and Port Royal'";1862;;Jamaica;View of dockyard and Port Royal, Jamaica;189047;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/100847751a96b7c6f1c76adf73ed0b15
2005-001-152-17.tif;British Empire and Commonwealth Collections at Bristol Archives;2005/001/152/17;View from Long Mountain, Jamaica;View over land and out to sea. Caption reads: 'View from Long Mountain, Jamaica';1862;;Jamaica;View from Long Mountain, Jamaica;189049;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/06643e972e7fe1e32c6a8e16c7d80f8b
2005-001-152-22.tif;British Empire and Commonwealth Collections at Bristol Archives;2005/001/152/22;Government Quarters. Port Royal Hospital, Port Royal, Jamaica;Showing people, house and a boat. Caption reads: 'Deputy Inspector. Government Quarters P.R Hospital, Port Royal Jamaica';1862;;Jamaica;Government Quarters. Port Royal Hospital, Port Royal, Jamaica;189054;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/c429e46e437ba7f06e6a6b50309ccbe9
2005-001-152-23.tif;British Empire and Commonwealth Collections at Bristol Archives;2005/001/152/23;HMS Jason, Port Royal, Jamaica;View of ship at sea. Caption reads: 'HMS Jason, Port Royal, Jamaica';1862;;Jamaica;HMS Jason, Port Royal, Jamaica;189055;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/17d46994fdad8607b1ecd9f0aaa6d30e
2005-001-152-30.tif;British Empire and Commonwealth Collections at Bristol Archives;2005/001/152/30;Parish church, Port Royal, Jamaica;Showing four figures in front of church. Caption reads: 'Parish church, Port Royal';1862;;Jamaica;Parish church, Port Royal, Jamaica;189062;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/0a07a8a33a1977d34cc0836a5129d2eb
2005-001-152-31.tif;British Empire and Commonwealth Collections at Bristol Archives;2005/001/152/31;Group of men in civilian clothes in front of buildings;Group of men in civilian clothes in front of buildings. Names are given: Lt Jones, Dr Donovan, [Mr Banks?], Dr Browne, Dr Barry.;1862;;Jamaica;Group of men in civilian clothes in front of buildings;189063;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/8264a9107537dd5c3b1e243c4fcfad85
2005-001-152-34.tif;British Empire and Commonwealth Collections at Bristol Archives;2005/001/152/34;Port of Port Royal, Jamaica;Showing buildings, palm trees and ships. Caption reads: 'Port of Port Royal';1862;;Jamaica;Port of Port Royal, Jamaica;189066;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/427977b1f5fdad4eb6adbc3ac0153be1
5535.tif;British Empire and Commonwealth Collections at Bristol Archives;2003/001/001/5;Portrait of a Burmese woman;"Portrait of a Burmese woman
A posed studio portrait of a young Burmese woman, traditionally dressed in a patterned silk 'longyi' or wraparound skirt. Her hair is worn up and she stands against a back cloth painted with a forest scene. Leaves are scattered around her feet and she holds a 'cheroot' (a type of cigar) in one hand. Sagaing, Burma (Myanmar), circa 1891.
Caption reads: 'A Wuntho Beauty, no.459'";c.1891;;Burma;Portrait of a Burmese woman;116431;https://opendata.bristol.gov.uk/api/v2/catalog/datasets/british-empire-and-commonwealth-collection/files/b2bf3e5e54c1cfc5ea8f4dccfb3330e8
